time,seconds_elapsed,z,y,x
1659027025664550700,0.083550537109375,-289.9312744140625,1125.50634765625,57.69375228881836
1659027025674550500,0.093550537109375,-290.0062561035156,1125.8062744140625,57.91875076293945
1659027025684550700,0.103550537109375,-289.2562561035156,1126.0125732421875,57.73125076293945
1659027025694550500,0.113550537109375,-288.9937744140625,1125.7313232421875,57.76875305175781
1659027025704550700,0.123550537109375,-288.9937744140625,1125.6375732421875,57.63750076293945
1659027025714550500,0.133550537109375,-288.8812561035156,1125.7313232421875,57.468753814697266
1659027025724550700,0.143550537109375,-288.6750183105469,1125.862548828125,57.22500228881836
1659027025734550500,0.153550537109375,-288.8062744140625,1125.6375732421875,57.20625305175781
1659027025744550700,0.163550537109375,-288.6750183105469,1125.5438232421875,57.11250305175781
1659027025754550500,0.173550537109375,-288.5812683105469,1125.393798828125,56.98125076293945
1659027025764550700,0.183550537109375,-288.7125244140625,1125.2625732421875,57.01875305175781
1659027025774550500,0.193550537109375,-288.75,1125.3563232421875,57.13125228881836
1659027025784550700,0.203550537109375,-288.6937561035156,1125.46875,56.868751525878906
1659027025794550500,0.213550537109375,-288.6750183105469,1125.393798828125,56.906253814697266
1659027025804550700,0.223550537109375,-288.73126220703125,1125.2437744140625,57.150001525878906
1659027025814550500,0.233550537109375,-288.4875183105469,1125.5625,57.26250076293945
1659027025824550700,0.243550537109375,-288.35626220703125,1125.65625,57.20625305175781
1659027025834550500,0.253550537109375,-288.3000183105469,1125.7313232421875,57.187503814697266
1659027025844550700,0.263550537109375,-288.4125061035156,1125.9000244140625,57.07500076293945
1659027025854550500,0.273550537109375,-288.4125061035156,1126.0125732421875,56.962501525878906
1659027025864550700,0.283550537109375,-288.4312744140625,1125.88134765625,57.150001525878906
1659027025874550500,0.293550537109375,-288.5625,1125.97509765625,57.187503814697266
1659027025884550700,0.303550537109375,-288.35626220703125,1126.0875244140625,57.13125228881836
1659027025894550500,0.313550537109375,-288.5062561035156,1126.050048828125,57.01875305175781
1659027025904550700,0.323550537109375,-288.7687683105469,1125.9000244140625,57.01875305175781
1659027025914550500,0.333550537109375,-288.7875061035156,1126.0125732421875,57.093753814697266
1659027025924550700,0.343550537109375,-288.7875061035156,1125.9188232421875,57.03750228881836
1659027025934550500,0.353550537109375,-288.7875061035156,1125.9188232421875,56.812503814697266
1659027025944550700,0.363550537109375,-288.91876220703125,1126.0875244140625,56.812503814697266
1659027025954550500,0.373550537109375,-288.7875061035156,1126.1063232421875,56.85000228881836
1659027025964550700,0.383550537109375,-289.0875244140625,1125.956298828125,56.75625228881836
1659027025974550500,0.393550537109375,-289.10626220703125,1125.75,56.775001525878906
1659027025984550700,0.403550537109375,-288.8812561035156,1125.88134765625,56.681251525878906
1659027025994550500,0.413550537109375,-288.7875061035156,1125.768798828125,56.437503814697266
1659027026004550700,0.423550537109375,-288.7875061035156,1125.69384765625,56.587501525878906
1659027026014550500,0.433550537109375,-288.9562683105469,1125.675048828125,56.64375305175781
1659027026024550700,0.443550537109375,-289.01251220703125,1125.60009765625,56.812503814697266
1659027026034550500,0.453550537109375,-288.9562683105469,1125.4500732421875,56.66250228881836
1659027026044550700,0.463550537109375,-289.1437683105469,1125.4500732421875,56.73750305175781
1659027026054550500,0.473550537109375,-289.0500183105469,1125.581298828125,56.587501525878906
1659027026064550700,0.483550537109375,-289.0500183105469,1125.675048828125,56.83125305175781
1659027026074550500,0.493550537109375,-289.01251220703125,1125.675048828125,57.01875305175781
1659027026084550700,0.503550537109375,-289.01251220703125,1125.88134765625,57.07500076293945
1659027026094550500,0.513550537109375,-288.9750061035156,1125.6187744140625,57.150001525878906
1659027026104550700,0.523550537109375,-288.6750183105469,1125.7313232421875,57.11250305175781
1659027026114550500,0.533550537109375,-288.6937561035156,1125.9375,57.281253814697266
1659027026124550700,0.543550537109375,-288.375,1126.125,57.337501525878906
1659027026134550500,0.553550537109375,-288.1875,1126.125,57.41250228881836
1659027026144550700,0.563550537109375,-288.0375061035156,1125.78759765625,57.54375076293945
1659027026154550500,0.573550537109375,-288.16876220703125,1125.9188232421875,57.618751525878906
1659027026164550700,0.583550537109375,-288.0375061035156,1125.8250732421875,57.50625228881836
1659027026174550500,0.593550537109375,-287.90625,1126.050048828125,57.431251525878906
1659027026184550700,0.603550537109375,-288.2062683105469,1125.768798828125,57.20625305175781
1659027026194550500,0.613550537109375,-288.1875,1125.46875,57.22500228881836
1659027026204550700,0.623550537109375,-288.2437744140625,1125.375,57.13125228881836
1659027026214550500,0.633550537109375,-288.26251220703125,1125.375,57.337501525878906
1659027026224550700,0.643550537109375,-288.46875,1125.75,57.056251525878906
1659027026234550500,0.653550537109375,-288.5812683105469,1125.5250244140625,56.94375228881836
1659027026244550700,0.663550537109375,-288.6937561035156,1125.4312744140625,56.868751525878906
1659027026254550500,0.673550537109375,-288.7125244140625,1125.3563232421875,56.85000228881836
1659027026264550700,0.683550537109375,-288.3937683105469,1125.5625,56.868751525878906
1659027026274550500,0.693550537109375,-288.45001220703125,1125.6375732421875,56.73750305175781
1659027026284550700,0.703550537109375,-288.54376220703125,1125.8062744140625,56.775001525878906
1659027026294550500,0.713550537109375,-288.45001220703125,1125.9375,56.66250228881836
1659027026304550700,0.723550537109375,-288.2250061035156,1125.8062744140625,56.73750305175781
1659027026314550500,0.733550537109375,-288.1312561035156,1125.88134765625,56.681251525878906
1659027026324550700,0.743550537109375,-287.9250183105469,1125.9000244140625,56.64375305175781
1659027026334550500,0.753550537109375,-288.0187683105469,1126.03125,56.681251525878906
1659027026344550700,0.763550537109375,-288.0375061035156,1125.956298828125,56.70000076293945
1659027026354550500,0.773550537109375,-287.98126220703125,1126.03125,56.56875228881836
1659027026364550700,0.783550537109375,-288.07501220703125,1125.862548828125,56.56875228881836
1659027026374550500,0.793550537109375,-288.4875183105469,1125.7125244140625,56.343753814697266
1659027026384550700,0.803550537109375,-288.7687683105469,1125.675048828125,56.36250305175781
1659027026394550500,0.813550537109375,-288.8062744140625,1125.5438232421875,56.32500076293945
1659027026404550700,0.823550537109375,-289.0687561035156,1125.581298828125,56.45625305175781
1659027026414550500,0.833550537109375,-288.9937744140625,1125.65625,56.55000305175781
1659027026424550700,0.843550537109375,-289.01251220703125,1125.69384765625,56.681251525878906
1659027026434550500,0.853550537109375,-288.9562683105469,1125.6375732421875,56.98125076293945
1659027026444550700,0.863550537109375,-288.82501220703125,1125.60009765625,56.962501525878906
1659027026454550500,0.873550537109375,-288.6750183105469,1125.6375732421875,57.093753814697266
1659027026464550700,0.883550537109375,-288.6187744140625,1125.7125244140625,57.13125228881836
1659027026474550500,0.893550537109375,-288.4875183105469,1125.8062744140625,57.07500076293945
1659027026484550700,0.903550537109375,-288.375,1125.88134765625,57.01875305175781
1659027026494550500,0.913550537109375,-288.3187561035156,1125.768798828125,56.906253814697266
1659027026504550700,0.923550537109375,-288.3937683105469,1125.6375732421875,56.962501525878906
