# EuRoC Launch (Up to date)
# 4087 data points written for 53 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (40,7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=10 seconds
10,0,0,39.269,0,39.419,0,0,0,0,0,3.4356,39.3,8,9.8007,85,0,0,0,1e5,18000,376.82,2.4789,NaN,328.06,NaN,0.013147,1586677,4983.7,4.6105e-4,0.53157,8.4257e-4,0.38522,0.026331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0010352
10.002,7.9408e-5,0.079626,39.596,0.07993,39.747,6.9473e-6,0,6.9473e-6,0,0.0069664,3.4642,39.3,8,9.8007,83.981,0,0,0,99998,17998,376.81,2.4789,NaN,328.05,NaN,0.013166,1588949,4951,7.9771e-4,0.53147,0.0014537,0.38512,0.026331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0012695
10.004,3.1785e-4,0.15882,39.272,0.15943,39.422,2.7809e-5,0,2.7809e-5,0,0.013895,3.4359,39.3,8,9.8007,82.97,0,0,0,99993,17993,376.79,2.4789,NaN,328.04,NaN,0.013189,1591705,4918.3,0.0012608,0.53134,0.0022896,0.38499,0.026331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.001393
10.006,7.1405e-4,0.23737,38.949,0.23828,39.098,6.2471e-5,0,6.2471e-5,0,0.020767,3.4076,39.3,8,9.8007,81.971,0,0,0,99989,17989,376.76,2.4789,NaN,328.03,NaN,0.013216,1594921,4885.6,0.0018643,0.5312,0.0033719,0.38484,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0014776
10.008,0.0012667,0.31527,38.625,0.31648,38.773,1.1082e-4,0,1.1082e-4,0,0.027583,3.3793,39.3,8,9.8007,80.985,0,0,0,99984,17984,376.74,2.4789,NaN,328.02,NaN,0.013246,1598584,4852.9,0.0026212,0.53103,0.0047192,0.38468,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0015616
10.01,0.0019745,0.39252,38.464,0.39402,38.611,1.7274e-4,0,1.7274e-4,0,0.034341,3.3652,39.3,8,9.8007,80.011,0,0,0,99980,17980,376.72,2.4789,NaN,328.01,NaN,0.01328,1602678,4836.5,0.0035427,0.53084,0.0063457,0.38449,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0016448
10.012,0.0028365,0.46946,38.466,0.47125,38.613,2.4816e-4,0,2.4816e-4,0,0.041072,3.3654,39.3,8,9.8007,79.047,0,0,0,99976,17976,376.69,2.4789,NaN,328,NaN,0.013317,1607211,4836.5,0.0046435,0.53064,0.0082707,0.38428,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0017274
10.014,0.0038523,0.54639,38.469,0.54848,38.616,3.3703e-4,0,3.3703e-4,0,0.047803,3.3656,39.3,8,9.8007,78.089,0,0,0,99971,17971,376.67,2.4789,NaN,327.99,NaN,0.013359,1612196,4836.5,0.0059402,0.53041,0.010515,0.38406,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0018102
10.016,0.005022,0.62333,38.471,0.62572,38.618,4.3937e-4,0,4.3937e-4,0,0.054535,3.3657,39.3,8,9.8007,77.137,0,0,0,99967,17967,376.65,2.4789,NaN,327.98,NaN,0.013404,1617630,4836.5,0.0074451,0.53017,0.01309,0.38381,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0018951
10.018,0.0063457,0.70028,38.473,0.70295,38.62,5.5517e-4,0,5.5517e-4,0,0.061266,3.3659,39.3,8,9.8007,76.191,0,0,0,99963,17963,376.63,2.4789,NaN,327.97,NaN,0.013452,1623508,4836.5,0.0091696,0.5299,0.016006,0.38355,0.026332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,452.39,85,0,NaN,14.22,999.18,339.92,2e-3,0.0019815
